Threads: 39 total,   1 running,  38 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3813972K used,    78076K free,    44220K buffers
 Swap:  2140092K total,   853140K used,  1286952K free,  1232708K cached
800%cpu 146%user   0%nice  79%sys 569%idle   0%iow   0%irq   5%sirq   0%host
%CPU]  TID NAME
61.5 31523 com.solodevlab.solara
61.5 31488 com.solodevlab.solara
 7.6 31528 com.solodevlab.solara
 5.1 31533 com.solodevlab.solara
 2.5 31734 com.solodevlab.solara
 2.5 31538 com.solodevlab.solara
 0.0 31736 com.solodevlab.solara
 0.0 31610 com.solodevlab.solara
 0.0 31611 com.solodevlab.solara
 0.0 31578 com.solodevlab.solara
 0.0 31574 com.solodevlab.solara
 0.0 31543 com.solodevlab.solara
 0.0 31542 com.solodevlab.solara
 0.0 31541 com.solodevlab.solara
 0.0 31540 com.solodevlab.solara
 0.0 31531 com.solodevlab.solara
 0.0 31529 com.solodevlab.solara
 0.0 31524 com.solodevlab.solara
 0.0 31525 com.solodevlab.solara
 0.0 31526 com.solodevlab.solara
 0.0 31527 com.solodevlab.solara
 0.0 31522 com.solodevlab.solara
 0.0 31521 com.solodevlab.solara
 0.0 31520 com.solodevlab.solara
 0.0 31517 com.solodevlab.solara
 0.0 31515 com.solodevlab.solara
 0.0 31516 com.solodevlab.solara
 0.0 31513 com.solodevlab.solara
 0.0 31505 com.solodevlab.solara
 0.0 31502 com.solodevlab.solara
 0.0 31503 com.solodevlab.solara
 0.0 31500 com.solodevlab.solara
 0.0 31498 com.solodevlab.solara
 0.0 31499 com.solodevlab.solara
 0.0 31494 com.solodevlab.solara



Threads: 39 total,   2 running,  37 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3822896K used,    69152K free,    44256K buffers
 Swap:  2140092K total,   853140K used,  1286952K free,  1235916K cached
800%cpu 163%user   0%nice  73%sys 562%idle   0%iow   0%irq   2%sirq   0%host
%CPU]  TID NAME
63.8 31488 com.solodevlab.solara
