Threads: 30 total,   1 running,  29 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3850976K used,    41072K free,    35960K buffers
 Swap:  2140092K total,   898860K used,  1241232K free,  1765316K cached
800%cpu 137%user   0%nice  69%sys 591%idle   0%iow   0%irq   3%sirq   0%host
%CPU]  TID NAME
88.5 23832 com.solodevlab.solara
40.0 23812 com.solodevlab.solara
 5.7 30603 com.solodevlab.solara
 2.8 24063 com.solodevlab.solara
 0.0 30622 com.solodevlab.solara
 0.0 25642 com.solodevlab.solara
 0.0 25359 com.solodevlab.solara
 0.0 25348 com.solodevlab.solara
 0.0 23935 com.solodevlab.solara
 0.0 23934 com.solodevlab.solara
 0.0 23909 com.solodevlab.solara
 0.0 23907 com.solodevlab.solara
 0.0 23840 com.solodevlab.solara
 0.0 23839 com.solodevlab.solara
 0.0 23837 com.solodevlab.solara
 0.0 23835 com.solodevlab.solara
 0.0 23836 com.solodevlab.solara
 0.0 23834 com.solodevlab.solara
 0.0 23833 com.solodevlab.solara
 0.0 23827 com.solodevlab.solara
 0.0 23824 com.solodevlab.solara
 0.0 23821 com.solodevlab.solara
 0.0 23822 com.solodevlab.solara
 0.0 23814 com.solodevlab.solara
 0.0 23819 com.solodevlab.solara
 0.0 23820 com.solodevlab.solara
 0.0 23817 com.solodevlab.solara
 0.0 23816 com.solodevlab.solara
 0.0 23815 com.solodevlab.solara
 0.0 23818 com.solodevlab.solara



Threads: 30 total,   2 running,  28 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3853080K used,    38968K free,    35996K buffers
 Swap:  2140092K total,   898860K used,  1241232K free,  1763708K cached
800%cpu 143%user   0%nice  78%sys 574%idle   0%iow   0%irq   4%sirq   0%host
%CPU]  TID NAME
93.7 23832 com.solodevlab.solara
37.6 23812 com.solodevlab.solara
 8.0 30603 com.solodevlab.solara
 3.9 24063 com.solodevlab.solara
 1.2 23837 com.solodevlab.solara
 0.6 23907 com.solodevlab.solara
 0.3 30622 com.solodevlab.solara
 0.0 25642 com.solodevlab.solara
 0.0 25359 com.solodevlab.solara
 0.0 25348 com.solodevlab.solara
 0.0 23935 com.solodevlab.solara
 0.0 23934 com.solodevlab.solara
 0.0 23909 com.solodevlab.solara
 0.0 23840 com.solodevlab.solara
 0.0 23839 com.solodevlab.solara
 0.0 23836 com.solodevlab.solara
 0.0 23834 com.solodevlab.solara
 0.0 23835 com.solodevlab.solara
 0.0 23833 com.solodevlab.solara
 0.0 23827 com.solodevlab.solara
 0.0 23824 com.solodevlab.solara
 0.0 23822 com.solodevlab.solara
 0.0 23821 com.solodevlab.solara
 0.0 23814 com.solodevlab.solara
 0.0 23819 com.solodevlab.solara
 0.0 23818 com.solodevlab.solara
 0.0 23817 com.solodevlab.solara
 0.0 23816 com.solodevlab.solara
 0.0 23815 com.solodevlab.solara
 0.0 23820 com.solodevlab.solara



Threads: 30 total,   2 running,  28 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3853072K used,    38976K free,    35996K buffers
 Swap:  2140092K total,   898860K used,  1241232K free,  1763708K cached
800%cpu 157%user   0%nice  91%sys 545%idle   0%iow   0%irq   6%sirq   0%host
%CPU]  TID NAME
90.8 23832 com.solodevlab.solara
38.1 23812 com.solodevlab.solara
 8.0 30603 com.solodevlab.solara
 4.0 24063 com.solodevlab.solara
 1.1 23837 com.solodevlab.solara
 0.6 23907 com.solodevlab.solara
 0.4 30622 com.solodevlab.solara
 0.0 25642 com.solodevlab.solara
 0.0 25359 com.solodevlab.solara
 0.0 25348 com.solodevlab.solara
 0.0 23935 com.solodevlab.solara
 0.0 23934 com.solodevlab.solara
 0.0 23909 com.solodevlab.solara
 0.0 23840 com.solodevlab.solara
 0.0 23839 com.solodevlab.solara
 0.0 23836 com.solodevlab.solara
 0.0 23834 com.solodevlab.solara
 0.0 23835 com.solodevlab.solara
 0.0 23833 com.solodevlab.solara
 0.0 23827 com.solodevlab.solara
 0.0 23824 com.solodevlab.solara
 0.0 23822 com.solodevlab.solara
 0.0 23821 com.solodevlab.solara
 0.0 23814 com.solodevlab.solara
 0.0 23819 com.solodevlab.solara
 0.0 23818 com.solodevlab.solara
 0.0 23817 com.solodevlab.solara
 0.0 23816 com.solodevlab.solara
 0.0 23815 com.solodevlab.solara
 0.0 23820 com.solodevlab.solara



Threads: 30 total,   1 running,  29 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3854152K used,    37896K free,    36028K buffers
 Swap:  2140092K total,   898860K used,  1241232K free,  1763708K cached
800%cpu 143%user   0%nice  78%sys 575%idle   0%iow   0%irq   4%sirq   0%host
%CPU]  TID NAME
93.7 23832 com.solodevlab.solara
37.7 23812 com.solodevlab.solara
 8.5 30603 com.solodevlab.solara
 4.1 24063 com.solodevlab.solara
 1.2 23837 com.solodevlab.solara
 0.5 23907 com.solodevlab.solara
 0.3 30622 com.solodevlab.solara
 0.0 25642 com.solodevlab.solara
 0.0 25359 com.solodevlab.solara
 0.0 25348 com.solodevlab.solara
 0.0 23935 com.solodevlab.solara
 0.0 23934 com.solodevlab.solara
 0.0 23909 com.solodevlab.solara
 0.0 23840 com.solodevlab.solara
 0.0 23839 com.solodevlab.solara
 0.0 23836 com.solodevlab.solara
 0.0 23834 com.solodevlab.solara
 0.0 23835 com.solodevlab.solara
 0.0 23833 com.solodevlab.solara
 0.0 23827 com.solodevlab.solara
 0.0 23824 com.solodevlab.solara
 0.0 23822 com.solodevlab.solara
 0.0 23821 com.solodevlab.solara
 0.0 23814 com.solodevlab.solara
 0.0 23819 com.solodevlab.solara
 0.0 23818 com.solodevlab.solara
 0.0 23817 com.solodevlab.solara
 0.0 23816 com.solodevlab.solara
 0.0 23815 com.solodevlab.solara
 0.0 23820 com.solodevlab.solara



Threads: 30 total,   2 running,  28 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3837064K used,    54984K free,    36052K buffers
 Swap:  2140092K total,   898860K used,  1241232K free,  1748756K cached
